City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Dingle,PH,82.08,scattered clouds,11.0,122.67,Camp Pasica
9,Chadiza,ZM,84.7,few clouds,-14.07,32.44,Sankhani Lodge
11,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
17,Inhambane,MZ,87.8,broken clouds,-23.86,35.38,MHL Turismo SA
21,Georgetown,MY,89.6,scattered clouds,5.41,100.34,Cititel Penang
25,Nelson Bay,AU,77.0,scattered clouds,-32.72,152.15,Mantra Nelson Bay
28,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Kashi,CN,75.2,dust,39.45,75.98,帕米尔青年旅舍
32,Saint-Pierre,RE,84.2,few clouds,-21.34,55.48,Lindsey Hôtel
33,Salamiyah,SY,76.73,few clouds,35.01,37.05,Gondolas Forum grandchildren and grandparents
36,Asilah,MA,71.6,broken clouds,35.47,-6.03,Hotel Zelis
37,Abu Samrah,SY,76.66,few clouds,35.3,37.18,
40,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
45,Abha,SA,73.4,scattered clouds,18.22,42.51,Abha Hotel
47,Shanghai,CN,77.0,overcast clouds,31.22,121.46,Regal International East Asia
52,Teahupoo,PF,80.6,broken clouds,-17.83,-149.27,Vanira Lodge
53,Saldanha,ZA,71.6,scattered clouds,-33.01,17.94,Blue Bay Lodge
68,Cape Town,ZA,73.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
71,Carnarvon,AU,80.6,scattered clouds,-24.87,113.63,Hospitality Carnarvon
77,Bandarbeyla,SO,86.4,clear sky,9.49,50.81,REER XOOSHLE GROUP
89,Sao Filipe,CV,73.63,overcast clouds,14.9,-24.5,Tortuga B&B
91,Barra Do Corda,BR,79.23,broken clouds,-5.5,-45.25,Belchior Palace Hotel
94,Atuona,PF,82.31,broken clouds,-9.8,-139.03,Villa Enata
96,Nizwa,OM,86.54,overcast clouds,22.93,57.53,Orient Apartments
97,Freetown,SL,87.49,broken clouds,8.48,-13.23,The Country Lodge Hotel
103,Caravelas,BR,80.46,broken clouds,-17.71,-39.25,Pousada dos Navegantes
104,Quatre Cocos,MU,81.0,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
106,Namibe,AO,75.2,few clouds,-15.2,12.15,Chik-Chik Namibe
109,Cessnock,AU,77.0,broken clouds,-32.83,151.35,Potters Hotel Brewery Resort
111,Ghanzi,BW,87.53,clear sky,-21.57,21.78,Ghanzi Farmhouse
121,Touros,BR,75.2,thunderstorm with light rain,-5.2,-35.46,INN NEW HORIZON
123,Cabedelo,BR,78.8,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
127,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
128,Phan Thiet,VN,79.83,clear sky,10.93,108.1,Hotel Saigon-PT
129,Harper,LR,87.39,clear sky,4.38,-7.72,Cape View Guest House
133,Tuy Hoa,VN,77.68,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
134,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
138,Luderitz,,75.2,broken clouds,-26.65,15.16,LÜDERITZ NEST HOTEL
140,Souillac,MU,81.0,shower rain,-20.52,57.52,Bils' Villa
150,Kruisfontein,ZA,70.54,scattered clouds,-34.0,24.73,Oyster Bay House Rental
151,Saint-Philippe,RE,84.2,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
156,Domoni,KM,83.46,few clouds,-12.26,44.53,Loulou
157,Hobyo,SO,88.25,scattered clouds,5.35,48.53,
159,Itinga,BR,80.06,overcast clouds,-16.61,-41.77,Pousada Barbosa
164,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
165,Waddan,LY,81.37,overcast clouds,29.16,16.14,محل الشريف محمد العايب
168,Dezful,IR,84.24,clear sky,32.38,48.41,سالن پیرایش امید
173,Bambous Virieux,MU,81.0,shower rain,-20.34,57.76,Casa Tia Villa
181,Fort Wellington,GY,81.16,scattered clouds,6.4,-57.6,TE'AMO Entertainment Park
182,Lianran,CN,77.0,few clouds,24.92,102.48,Jinzhouwan Hotel
187,Hami,CN,73.2,overcast clouds,42.8,93.45,Laoyutang Resort
189,Victoria,HK,75.99,few clouds,22.29,114.16,Mini Hotel Central
194,Port Alfred,ZA,71.01,overcast clouds,-33.59,26.89,The Halyards Hotel
195,Samarai,PG,80.69,broken clouds,-10.62,150.67,Nuli Sapi
197,Vanimo,PG,81.7,scattered clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
205,Byron Bay,AU,72.0,few clouds,-28.65,153.62,Backpackers Inn on the Beach
211,Umm Lajj,SA,83.61,clear sky,25.02,37.27,Tanal Hotel Apartment
