City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
0,Butaritari,KI,2020-04-18 03:17:07,3.07,172.79,82.33,80,82,14.81,moderate rain,5.07,0.0
1,Albany,US,2020-04-18 03:14:36,42.6,-73.97,37.0,79,100,3.87,light rain,0.0,0.0
2,Hilo,US,2020-04-18 03:17:08,19.73,-155.09,80.6,51,20,6.93,few clouds,0.0,0.0
3,Lae,PG,2020-04-18 03:17:09,-6.72,146.98,89.6,52,20,13.87,few clouds,0.0,0.0
4,Lebu,CL,2020-04-18 03:14:53,-37.62,-73.65,60.78,94,100,3.69,light rain,0.55,0.0
5,Fortuna,US,2020-04-18 03:16:10,40.6,-124.16,55.0,93,1,5.82,clear sky,0.0,0.0
6,Busselton,AU,2020-04-18 03:17:10,-33.65,115.33,75.0,37,98,7.09,overcast clouds,0.0,0.0
7,Greenwood,US,2020-04-18 03:14:06,34.17,-82.12,57.2,67,1,8.05,clear sky,0.0,0.0
8,Ahipara,NZ,2020-04-18 03:15:18,-35.17,173.17,67.1,75,13,10.94,light rain,0.13,0.0
9,Sorland,NO,2020-04-18 03:17:10,67.67,12.69,38.82,94,100,16.13,light rain,1.16,0.0
10,Heyang,CN,2020-04-18 03:17:11,26.1,107.47,70.97,62,97,13.0,light rain,0.14,0.0
11,Alofi,NU,2020-04-18 03:17:11,-19.06,-169.92,84.2,70,12,12.75,light rain,0.27,0.0
12,Korla,CN,2020-04-18 03:17:11,41.76,86.15,63.27,33,86,9.51,light rain,0.36,0.0
13,Barranca,PE,2020-04-18 03:17:11,-10.75,-77.77,73.08,73,100,8.34,overcast clouds,0.0,0.0
14,Makakilo City,US,2020-04-18 03:14:21,21.35,-158.09,84.2,45,1,6.93,clear sky,0.0,0.0
15,Codrington,AU,2020-04-18 03:16:23,-38.27,141.97,58.51,64,100,7.0,overcast clouds,0.0,0.0
16,Takoradi,GH,2020-04-18 03:17:12,4.88,-1.76,80.89,85,100,9.6,light rain,0.5,0.0
