City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gamba,GA,2020-04-15 05:23:47,-2.65,10.0,79.61,87,90,5.82
1,Mogadishu,SO,2020-04-15 05:23:48,2.04,45.34,84.2,74,75,7.63
2,Itarema,BR,2020-04-15 05:23:48,-2.92,-39.92,74.48,87,90,3.49
3,Punta Arenas,CL,2020-04-15 05:23:48,-53.15,-70.92,46.4,87,75,9.17
4,Butaritari,KI,2020-04-15 05:19:51,3.07,172.79,83.55,80,45,15.1
5,Port Elizabeth,ZA,2020-04-15 05:21:21,-33.92,25.57,60.8,100,75,3.36
6,Tiksi,RU,2020-04-15 05:23:49,71.69,128.87,6.22,93,100,14.09
7,Ushuaia,AR,2020-04-15 05:23:49,-54.8,-68.3,44.6,81,40,4.7
8,Busselton,AU,2020-04-15 05:23:49,-33.65,115.33,73.99,32,36,14.97
9,Luderitz,NA,2020-04-15 05:23:49,-26.65,15.16,60.8,63,3,8.05
10,Bonthe,SL,2020-04-15 05:23:49,7.53,-12.51,79.36,85,100,4.23
11,Haimen,CN,2020-04-15 05:23:50,23.19,116.61,77.0,41,70,6.71
12,Moose Factory,CA,2020-04-15 05:23:50,51.26,-80.61,8.6,78,90,5.82
13,Mataura,NZ,2020-04-15 05:23:50,-46.19,168.86,48.99,89,100,5.01
14,Chokurdakh,RU,2020-04-15 05:23:50,70.63,147.92,-1.16,90,1,8.81
15,Tuktoyaktuk,CA,2020-04-15 05:23:50,69.45,-133.04,21.2,92,75,9.17
16,Anadyr,RU,2020-04-15 05:23:51,64.75,177.48,15.8,85,75,8.95
17,Srednekolymsk,RU,2020-04-15 05:23:51,67.45,153.68,8.73,92,48,9.98
18,Jamestown,US,2020-04-15 05:23:51,42.1,-79.24,36.0,92,40,3.36
19,Iqaluit,CA,2020-04-15 05:23:51,63.75,-68.51,17.6,67,75,17.22
20,Tyukhtet,RU,2020-04-15 05:23:52,56.54,89.3,53.65,64,81,2.93
21,Vrangel,RU,2020-04-15 05:23:52,42.73,133.08,43.3,63,0,5.86
